Entity,Code,Day,0-17_fully,18-29_fully,25-49_fully,35-44_fully,45-54_fully,50-54_fully,40-49_fully,30-39_fully,25-34_fully,18-24_fully,50-59_fully,55-64_fully,60-69_fully,60-64_fully,55-59_fully,65-69_fully,70-74_fully,75+_fully,80+_fully,75-79_fully,70-79_fully,65-74_fully,12-17_fully,0-9_fully,10-19_fully,20-29_fully,12-15_fully,16-19_fully,5-11_fully,90-99_fully,80-89_fully,0-4_fully,15-17_fully,5-9_fully,10-14_fully
Austria,AUT,2021-01-08,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,0,0,0,
Austria,AUT,2021-01-15,,,0,,,,,,,0,0.01,,0,,,,,,0.02,,0.01,,,,,,,,,,,0,0,0,0
Austria,AUT,2021-01-22,,,0.04,,,,,,,0.01,0.07,,0.06,,,,,,0.32,,0.07,,,,,,,,,,,0,0,0,0
Austria,AUT,2021-01-29,,,0.24,,,,,,,0.1,0.37,,0.25,,,,,,1.04,,0.23,,,,,,,,,,,0,0.01,0,0
Austria,AUT,2021-02-05,,,1.07,,,,,,,0.41,1.61,,1.14,,,,,,5.12,,1.09,,,,,,,,,,,0,0.03,0,0
Austria,AUT,2021-02-12,,,2.01,,,,,,,0.8,2.91,,1.94,,,,,,10.33,,1.88,,,,,,,,,,,0,0.04,0,0
Austria,AUT,2021-02-19,,,2.37,,,,,,,1,3.4,,2.25,,,,,,13.42,,2.25,,,,,,,,,,,0,0.05,0,0
Austria,AUT,2021-02-26,,,2.62,,,,,,,1.13,3.78,,2.52,,,,,,14.1,,2.43,,,,,,,,,,,0,0.06,0,0
Austria,AUT,2021-03-05,,,2.77,,,,,,,1.21,3.98,,2.68,,,,,,15.03,,2.58,,,,,,,,,,,0,0.06,0,0
Austria,AUT,2021-03-12,,,2.9,,,,,,,1.25,4.18,,2.86,,,,,,19.2,,2.86,,,,,,,,,,,0,0.07,0,0
Austria,AUT,2021-03-19,,,3.01,,,,,,,1.3,4.35,,3.11,,,,,,26.8,,3.27,,,,,,,,,,,0,0.08,0,0
Austria,AUT,2021-03-26,,,3.14,,,,,,,1.38,4.65,,3.61,,,,,,42.31,,4.05,,,,,,,,,,,0,0.09,0,0
Austria,AUT,2021-04-02,,,3.31,,,,,,,1.51,4.95,,4.24,,,,,,53.39,,5.55,,,,,,,,,,,0,0.12,0,0
Austria,AUT,2021-04-09,,,4.18,,,,,,,2.23,6.13,,6.04,,,,,,62.72,,9.1,,,,,,,,,,,0,0.36,0,0
Austria,AUT,2021-04-16,,,4.69,,,,,,,2.58,6.98,,7.66,,,,,,66.91,,13.2,,,,,,,,,,,0,0.44,0,0
Austria,AUT,2021-04-23,,,4.95,,,,,,,2.74,7.38,,8.33,,,,,,71.2,,15.56,,,,,,,,,,,0,0.46,0,0
Austria,AUT,2021-04-30,,,5.27,,,,,,,3.01,7.84,,9.4,,,,,,72.59,,19.9,,,,,,,,,,,0,0.49,0,0
Austria,AUT,2021-05-07,,,6.01,,,,,,,3.59,8.85,,11.6,,,,,,74.7,,26.49,,,,,,,,,,,0,0.52,0,0
Austria,AUT,2021-05-14,,,6.96,,,,,,,4.32,10.12,,13.85,,,,,,75.99,,30.55,,,,,,,,,,,0,0.57,0,0.01
